month,day,hour,frequency
9,3,6,12
9,3,7,31
9,3,8,31
9,3,9,3
9,3,11,12
9,3,12,3
9,3,14,8
9,3,15,5
9,3,16,8
9,3,17,5
9,3,18,44
9,3,19,10
9,3,20,16
9,3,22,3
9,3,23,33
9,4,9,4
9,4,10,17
9,4,11,43
9,4,12,49
9,4,14,11
9,4,15,9
9,4,16,39
9,4,17,24
9,4,18,23
9,5,1,48
9,5,11,3
9,5,12,38
9,5,21,27
9,6,8,3
9,6,9,34
9,6,10,20
9,6,11,10
9,6,16,16
9,6,19,31
9,6,20,35
9,6,21,29
9,6,22,47
9,6,23,9
9,7,8,27
9,7,9,28
9,7,22,19
9,7,23,32
9,8,0,4
9,8,1,10
9,8,8,5
9,8,9,24
9,8,10,13
9,8,11,18
9,8,12,36
9,8,13,8
9,8,14,8
9,8,15,33
9,8,16,26
9,8,17,3
9,8,18,24
9,8,19,2
9,8,22,43
9,8,23,30
9,9,0,42
9,9,1,1
9,9,7,27
9,9,10,35
9,9,11,25
9,9,12,20
9,9,13,68
9,9,14,34
9,9,15,37
9,9,16,3
9,9,17,18
9,9,18,14
9,9,19,3
9,9,20,12
9,9,21,7
9,10,7,5
9,10,8,10
9,10,10,23
9,10,11,18
9,10,12,13
9,10,13,5
9,10,14,32
9,10,15,29
9,10,17,46
9,10,18,6
9,10,19,4
9,10,20,14
9,10,21,14
9,10,22,18
9,10,23,16
9,11,0,44
9,11,1,23
9,11,6,7
9,11,10,10
9,11,11,4
9,11,12,10
9,11,13,33
9,11,14,45
9,11,15,8
9,11,16,43
9,11,17,2
9,11,18,14
9,11,19,57
9,11,20,37
9,11,21,14
9,11,22,48
9,11,23,18
9,12,0,18
9,12,1,7
9,12,8,23
9,12,20,4
9,12,21,9
9,12,22,11
9,12,23,11
9,13,8,6
9,13,9,29
9,13,10,18
9,13,11,1
9,13,12,10
9,13,13,36
9,13,14,17
9,13,15,31
9,13,16,11
9,13,17,4
9,13,18,3
9,14,7,19
9,14,8,30
9,14,9,38
9,14,12,54
9,14,13,51
9,14,14,67
9,14,15,33
9,14,16,6
9,14,17,12
9,14,18,40
9,14,19,4
9,14,20,5
9,14,21,12
9,14,22,40
9,15,7,32
9,15,8,9
9,15,9,33
9,15,10,21
9,15,11,20
9,15,12,3
9,15,13,29
9,15,14,42
9,15,15,46
9,15,16,15
9,15,17,4
9,15,18,5
9,15,19,41
9,15,20,7
9,15,21,7
9,15,22,46
9,16,8,7
9,16,11,6
9,16,12,8
9,16,13,15
9,16,14,43
9,16,15,57
9,16,16,3
9,16,22,28
9,16,23,13
9,17,0,16
9,17,8,16
9,17,9,17
9,17,11,7
9,17,12,27
9,17,13,36
9,17,14,14
9,17,15,31
9,17,16,3
9,17,20,22
9,17,21,2
9,17,22,40
9,17,23,17
9,18,11,29
9,18,14,31
9,18,15,9
9,18,16,9
9,18,17,24
9,18,20,12
9,18,21,16
9,18,22,40
9,19,11,9
9,19,12,4
9,20,13,19
9,20,16,34
9,20,17,34
9,20,18,3
9,20,19,17
9,20,20,22
9,20,21,9
9,20,22,11
9,20,23,1
9,21,0,1
9,21,8,24
9,21,9,11
9,21,11,8
9,21,13,26
9,21,14,39
9,21,15,21
9,21,16,11
9,21,17,26
9,21,18,16
9,21,19,16
9,22,10,50
9,22,11,28
9,22,12,33
9,22,13,46
9,22,14,44
9,22,15,4
9,22,16,27
9,22,17,22
9,22,18,12
9,22,19,19
9,22,20,14
9,22,21,64
9,22,22,20
9,22,23,8
9,23,10,19
9,23,11,12
9,23,12,7
9,23,13,53
9,23,14,24
9,23,15,22
9,23,20,15
9,23,21,6
9,23,22,33
9,23,23,21
9,24,0,26
9,24,8,39
9,24,10,41
9,24,11,37
9,24,13,21
9,24,14,88
9,24,15,12
9,24,16,3
9,24,21,8
9,25,9,34
9,25,10,9
9,25,11,47
9,25,12,27
9,25,13,11
9,25,14,23
9,25,15,24
9,25,16,30
9,25,20,64
9,25,21,32
9,25,22,30
9,25,23,25
9,26,0,2
9,26,8,24
9,26,9,22
9,26,10,15
9,26,11,2
9,26,12,1
9,26,13,18
9,26,17,20
9,26,18,12
9,26,19,20
9,27,10,17
9,27,11,1
9,27,13,12
9,27,14,4
9,27,17,23
9,27,18,18
9,27,19,1
9,27,20,28
9,27,21,5
9,27,22,6
9,28,0,7
9,28,8,22
9,28,9,37
9,28,10,28
9,28,11,2
9,28,13,31
9,28,14,26
9,28,15,58
9,28,16,14
9,28,17,2
9,28,18,42
9,28,19,42
9,28,20,31
9,28,21,29
9,29,7,12
9,29,8,6
9,29,9,26
9,29,10,29
9,29,12,37
9,29,13,61
9,29,14,22
9,29,15,32
9,29,16,57
9,29,17,51
9,29,18,64
9,29,21,14
9,29,22,13
9,29,23,38
9,30,7,12
9,30,11,12
9,30,12,21
9,30,13,21
9,30,14,62
9,30,15,23
9,30,16,27
9,30,17,32
9,30,18,61
9,30,19,32
9,30,20,17
9,30,21,60
9,30,22,42
9,30,24,46
