Day,Hour,Activity,Timespent,Month
3,6,Gmail,78,12
3,6,URL,435,12
3,6,newtab,2,12
3,7,URL,1525,12
3,7,loginwindow,49,12
3,7,newtab,18,12
3,8,Gmail,78,12
3,8,URL,625,12
3,8,loginwindow,39,12
3,8,newtab,24,12
3,8,slack,12,12
3,9,kiwi for gmail,21,12
3,9,loginwindow,41,12
3,11,URL,264,12
3,11,evernote,4,12
3,11,google chrome,25,12
3,11,kiwi for gmail,1601,12
3,11,newtab,29,12
3,12,evernote,227,12
3,12,kiwi for gmail,88,12
3,14,URL,12,12
3,14,evernote,606,12
3,14,google chrome,3,12
3,14,kiwi for gmail,107,12
3,14,loginwindow,33,12
3,14,newtab,3,12
3,14,slack,26,12
3,15,evernote,3,12
3,15,kiwi for gmail,228,12
3,15,loginwindow,65,12
3,15,messages,13,12
3,15,newtab,1,12
3,16,URL,35,12
3,16,kiwi for gmail,37,12
3,16,loginwindow,32,12
3,16,newtab,75,12
3,17,Google Spreadsheets,2,12
3,17,URL,2,12
3,17,kiwi for gmail,894,12
3,17,newtab,15,12
3,17,slack,8,12
3,18,Google Spreadsheets,943,12
3,18,URL,1544,12
3,18,calendar,33,12
3,18,facetime,4,12
3,18,kiwi for gmail,499,12
3,18,newtab,56,12
3,18,spotify,39,12
3,18,stickies,87,12
3,19,Calculator,4,12
3,19,Google Spreadsheets,327,12
3,19,URL,1888,12
3,19,calendar,29,12
3,19,evernote helper,12,12
3,19,kiwi for gmail,1340,12
3,20,Google Spreadsheets,628,12
3,20,URL,736,12
3,20,calendar,7,12
3,20,kiwi for gmail,554,12
3,20,loginwindow,68,12
3,20,newtab,2,12
3,22,URL,8,12
3,22,kiwi for gmail,302,12
3,22,loginwindow,35,12
3,23,URL,2199,12
3,23,kiwi for gmail,198,12
3,23,newtab,19,12
4,9,RescueTime,2,12
4,9,URL,1,12
4,9,kiwi for gmail,331,12
4,9,spotify,7,12
4,10,Preview,1,12
4,10,URL,339,12
4,10,kiwi for gmail,146,12
4,10,loginwindow,63,12
4,10,newtab,14,12
4,11,Finder,120,12
4,11,Google Hangouts,282,12
4,11,Google+,2,12
4,11,Preview,514,12
4,11,Skype,4,12
4,11,URL,995,12
4,11,calendar,26,12
4,11,kiwi for gmail,252,12
4,11,newtab,48,12
4,11,spotify,24,12
4,12,Gmail,77,12
4,12,Google Hangouts,1244,12
4,12,Google+,9,12
4,12,URL,1774,12
4,12,facetime,40,12
4,12,kiwi for gmail,129,12
4,12,loginwindow,34,12
4,12,messages,21,12
4,12,newtab,33,12
4,14,Gmail,70,12
4,14,URL,241,12
4,14,kiwi for gmail,289,12
4,14,newtab,10,12
4,15,URL,1657,12
4,15,facetime,6,12
4,15,kiwi for gmail,6,12
4,15,newtab,28,12
4,16,Google Spreadsheets,154,12
4,16,Skype,4,12
4,16,URL,937,12
4,16,day one reminders,176,12
4,16,google chrome,6,12
4,16,kiwi for gmail,908,12
4,16,loginwindow,40,12
4,16,messages,2,12
4,16,newtab,15,12
4,16,screensaverengine,2,12
4,16,slack,179,12
4,16,spotify,21,12
4,17,Google Presentations,50,12
4,17,Google Spreadsheets,1751,12
4,17,URL,996,12
4,17,evernote helper,17,12
4,17,facetime,8,12
4,17,kiwi for gmail,609,12
4,17,newtab,28,12
4,17,slack,140,12
4,18,Google Presentations,197,12
4,18,Google Spreadsheets,1261,12
4,18,URL,372,12
4,18,kiwi for gmail,112,12
4,18,loginwindow,35,12
4,18,newtab,16,12
5,1,Google Presentations,2,12
5,1,Google Spreadsheets,4,12
5,1,Twitter,272,12
5,1,URL,1345,12
5,1,kiwi for gmail,146,12
5,1,loginwindow,33,12
5,1,newtab,50,12
5,11,URL,6,12
5,11,kiwi for gmail,20,12
5,11,loginwindow,33,12
5,12,1password mini,146,12
5,12,URL,1085,12
5,12,kiwi for gmail,86,12
5,12,loginwindow,69,12
5,12,messages,2,12
5,12,newtab,51,12
5,21,URL,1317,12
5,21,loginwindow,35,12
5,21,newtab,19,12
6,8,URL,14,12
6,8,loginwindow,41,12
6,9,URL,1823,12
6,9,newtab,85,12
6,9,slack,10,12
6,10,1password mini,4,12
6,10,Google+,5,12
6,10,URL,673,12
6,10,kiwi for gmail,52,12
6,10,loginwindow,33,12
6,10,newtab,15,12
6,11,URL,727,12
6,11,loginwindow,95,12
6,11,newtab,7,12
6,16,URL,183,12
6,16,kiwi for gmail,1,12
6,16,newtab,3,12
6,19,URL,1018,12
6,19,calendar,49,12
6,19,evernote helper,59,12
6,19,evernote,4,12
6,19,kiwi for gmail,1040,12
6,19,loginwindow,146,12
6,19,newtab,17,12
6,20,Twitter,3,12
6,20,URL,1046,12
6,20,calendar,2,12
6,20,kiwi for gmail,427,12
6,20,loginwindow,33,12
6,20,newtab,22,12
6,21,Google Forms,7,12
6,21,URL,819,12
6,21,calendar,19,12
6,21,evernote,23,12
6,21,kiwi for gmail,851,12
6,21,loginwindow,33,12
6,21,newtab,14,12
6,22,Twitter,486,12
6,22,URL,1352,12
6,22,kiwi for gmail,49,12
6,22,newtab,9,12
6,23,URL,212,12
6,23,calendar,13,12
6,23,kiwi for gmail,21,12
6,23,loginwindow,33,12
7,8,Finder,33,12
7,8,OneTab,3,12
7,8,URL,1173,12
7,8,app store,3,12
7,8,loginwindow,32,12
7,8,messages,251,12
7,8,newtab,37,12
7,8,storeuid,4,12
7,9,URL,1843,12
7,9,kiwi for gmail,62,12
7,9,loginwindow,150,12
7,9,newtab,65,12
7,9,verizonupdatecenter,4,12
7,22,1password mini,4,12
7,22,Finder,24,12
7,22,URL,360,12
7,22,newtab,13,12
7,22,pomodoro time pro,6,12
7,23,OneTab,1,12
7,23,Twitter,25,12
7,23,URL,1770,12
7,23,loginwindow,19,12
7,23,newtab,23,12
8,0,URL,306,12
8,0,loginwindow,37,12
8,1,URL,484,12
8,1,kiwi for gmail,1,12
8,1,loginwindow,5,12
8,1,newtab,42,12
8,8,URL,4,12
8,8,calendar,55,12
8,8,kiwi for gmail,75,12
8,8,newtab,4,12
8,9,Skype,554,12
8,9,URL,1705,12
8,9,calendar,364,12
8,9,coreservicesuiagent,10,12
8,9,evernote helper,32,12
8,9,evernote,1,12
8,9,kiwi for gmail,434,12
8,9,loginwindow,74,12
8,9,newtab,25,12
8,10,Skype,5,12
8,10,URL,141,12
8,10,calendar,69,12
8,10,evernote,1038,12
8,10,kiwi for gmail,63,12
8,10,loginwindow,58,12
8,10,newtab,9,12
8,11,Gmail,71,12
8,11,URL,547,12
8,11,evernote,7,12
8,11,loginwindow,17,12
8,11,newtab,24,12
8,11,slack,18,12
8,12,Gmail,45,12
8,12,URL,1813,12
8,12,calendar,165,12
8,12,kiwi for gmail,61,12
8,12,loginwindow,48,12
8,12,newtab,25,12
8,12,slack,82,12
8,13,URL,110,12
8,13,kiwi for gmail,316,12
8,13,loginwindow,3,12
8,13,newtab,1,12
8,14,URL,70,12
8,14,calendar,136,12
8,14,kiwi for gmail,694,12
8,14,loginwindow,167,12
8,14,screensaverengine,227,12
8,15,Google Spreadsheets,598,12
8,15,System Preferences,33,12
8,15,URL,2120,12
8,15,calendar,3,12
8,15,evernote,3,12
8,15,kiwi for gmail,303,12
8,15,newtab,31,12
8,15,spotify,118,12
8,16,Calculator,87,12
8,16,Google Presentations,38,12
8,16,Google Spreadsheets,1578,12
8,16,URL,550,12
8,16,calendar,35,12
8,16,evernote,66,12
8,16,kiwi for gmail,598,12
8,16,loginwindow,34,12
8,16,newtab,8,12
8,17,URL,187,12
8,17,kiwi for gmail,261,12
8,18,Google Spreadsheets,4,12
8,18,MS Excel,133,12
8,18,URL,307,12
8,18,calendar,4,12
8,18,kiwi for gmail,342,12
8,18,loginwindow,34,12
8,18,newtab,2,12
8,18,stickies,18,12
8,19,kiwi for gmail,166,12
8,22,1password mini,6,12
8,22,Google Presentations,4,12
8,22,Google Spreadsheets,126,12
8,22,URL,955,12
8,22,app store,199,12
8,22,calendar,3,12
8,22,kiwi for gmail,645,12
8,22,newtab,27,12
8,22,wunderlist,187,12
8,23,Google Spreadsheets,216,12
8,23,URL,661,12
8,23,app store,6,12
8,23,calendar,87,12
8,23,evernote helper,1,12
8,23,evernote,7,12
8,23,kiwi for gmail,1102,12
8,23,newtab,5,12
8,23,wunderlist,47,12
9,0,Finder,154,12
9,0,Gmail,35,12
9,0,RescueTime,28,12
9,0,SecurityAgent,3,12
9,0,URL,666,12
9,0,akfbkbiialncppkngofjpglbbobjoeoe,131,12
9,0,archive utility,2,12
9,0,calendar,11,12
9,0,coreservicesuiagent,3,12
9,0,freedomplatform,27,12
9,0,kiwi for gmail,295,12
9,0,loginwindow,49,12
9,0,newtab,34,12
9,0,selfcontrol,23,12
9,0,stickies,1,12
9,1,stickies,16,12
9,7,Finder,11,12
9,7,Gmail,10,12
9,7,Google Spreadsheets,1,12
