Day,Hour,Category,Timespent,Month
3,6,Browsers,2,12
3,6,Email,78,12
3,6,Engineering & Technology,49,12
3,6,General News & Opinion,349,12
3,6,General Reference & Learning,7,12
3,6,General Social Networking,22,12
3,6,Search,8,12
3,7,Browsers,18,12
3,7,General News & Opinion,2,12
3,7,General Reference & Learning,23,12
3,7,General Shopping,38,12
3,7,General Social Networking,953,12
3,7,General Utilities,49,12
3,7,Home & Garden,10,12
3,7,Search,190,12
3,7,Uncategorized,108,12
3,7,Video,201,12
3,8,Browsers,24,12
3,8,Email,78,12
3,8,General Shopping,20,12
3,8,General Social Networking,233,12
3,8,General Utilities,39,12
3,8,Instant Message,12,12
3,8,Science & Technology,44,12
3,8,Search,134,12
3,8,Uncategorized,166,12
3,8,Video,28,12
3,9,General Utilities,41,12
3,9,Uncategorized,21,12
3,11,Browsers,54,12
3,11,General Shopping,13,12
3,11,General Social Networking,216,12
3,11,Intelligence,4,12
3,11,Search,10,12
3,11,Uncategorized,1626,12
3,12,Intelligence,227,12
3,12,Uncategorized,88,12
3,14,Browsers,6,12
3,14,General Social Networking,12,12
3,14,General Utilities,33,12
3,14,Instant Message,26,12
3,14,Intelligence,606,12
3,14,Uncategorized,107,12
3,15,Browsers,1,12
3,15,General Utilities,65,12
3,15,Instant Message,13,12
3,15,Intelligence,3,12
3,15,Uncategorized,228,12
3,16,Browsers,75,12
3,16,General Social Networking,22,12
3,16,General Utilities,32,12
3,16,Uncategorized,50,12
3,17,Browsers,15,12
3,17,General Business,2,12
3,17,Instant Message,8,12
3,17,Uncategorized,896,12
3,18,Browsers,56,12
3,18,Calendars,33,12
3,18,General Business,1067,12
3,18,General Entertainment,39,12
3,18,General Reference & Learning,903,12
3,18,Intelligence,87,12
3,18,Legal & Gov't,24,12
3,18,Search,271,12
3,18,Uncategorized,721,12
3,18,Voice Chat,4,12
3,19,Calendars,29,12
3,19,Engineering & Technology,9,12
3,19,General Business,327,12
3,19,General Reference & Learning,1891,12
3,19,General Utilities,4,12
3,19,Uncategorized,1340,12
3,20,Browsers,2,12
3,20,Calendars,7,12
3,20,General Business,650,12
3,20,General Social Networking,221,12
3,20,General Utilities,68,12
3,20,Uncategorized,559,12
3,20,Video,488,12
3,22,General Utilities,35,12
3,22,Uncategorized,302,12
3,22,Video,8,12
3,23,Browsers,19,12
3,23,General News & Opinion,392,12
3,23,General Shopping,463,12
3,23,General Social Networking,626,12
3,23,Search,131,12
3,23,Uncategorized,198,12
3,23,Video,587,12
4,9,General Entertainment,7,12
4,9,Intelligence,2,12
4,9,Uncategorized,332,12
4,10,Browsers,14,12
4,10,General Reference & Learning,1,12
4,10,General Shopping,24,12
4,10,General Utilities,63,12
4,10,Search,76,12
4,10,Uncategorized,381,12
4,10,Video,4,12
4,11,Browsers,48,12
4,11,Calendars,26,12
4,11,General Entertainment,24,12
4,11,General Reference & Learning,514,12
4,11,General Social Networking,43,12
4,11,General Utilities,120,12
4,11,Instant Message,282,12
4,11,Search,868,12
4,11,Uncategorized,338,12
4,11,Voice Chat,4,12
4,12,Browsers,33,12
4,12,Email,77,12
4,12,General News & Opinion,13,12
4,12,General Social Networking,509,12
4,12,General Utilities,60,12
4,12,Instant Message,1265,12
4,12,Search,89,12
4,12,Uncategorized,1133,12
4,12,Video,142,12
4,12,Voice Chat,40,12
4,14,Browsers,10,12
4,14,Email,70,12
4,14,General Social Networking,18,12
4,14,General Utilities,13,12
4,14,Uncategorized,384,12
4,14,Video,115,12
4,15,Browsers,28,12
4,15,General Reference & Learning,14,12
4,15,Search,38,12
4,15,Travel & Outdoors,127,12
4,15,Uncategorized,1484,12
4,15,Voice Chat,6,12
4,16,Browsers,21,12
4,16,General Business,192,12
4,16,General Entertainment,21,12
4,16,General Reference & Learning,111,12
4,16,General Social Networking,144,12
4,16,General Utilities,43,12
4,16,Instant Message,181,12
4,16,Search,169,12
4,16,Travel & Outdoors,1,12
4,16,Uncategorized,1376,12
4,16,Video,5,12
4,16,Voice Chat,4,12
4,16,Writing,176,12
4,17,Browsers,28,12
4,17,Engineering & Technology,457,12
4,17,General Business,1773,12
4,17,General Reference & Learning,101,12
4,17,General Social Networking,297,12
4,17,Instant Message,140,12
4,17,Presentation,50,12
4,17,Search,8,12
4,17,Uncategorized,737,12
4,17,Voice Chat,8,12
4,18,Browsers,16,12
4,18,Engineering & Technology,3,12
4,18,General Business,1285,12
4,18,General Reference & Learning,233,12
4,18,General Social Networking,109,12
4,18,General Utilities,35,12
4,18,Presentation,197,12
4,18,Uncategorized,115,12
5,1,Browsers,50,12
5,1,Engineering & Technology,2,12
5,1,General Business,5,12
5,1,General Entertainment,44,12
5,1,General News & Opinion,131,12
5,1,General Reference & Learning,14,12
5,1,General Shopping,147,12
5,1,General Social Networking,337,12
5,1,General Software Development,3,12
5,1,General Utilities,33,12
5,1,Presentation,2,12
5,1,Science & Technology,1,12
5,1,Search,122,12
5,1,Uncategorized,604,12
5,1,Video,357,12
5,11,General Shopping,6,12
5,11,General Utilities,33,12
5,11,Uncategorized,20,12
5,12,Browsers,51,12
5,12,General News & Opinion,150,12
5,12,General Shopping,654,12
5,12,General Social Networking,149,12
5,12,General Utilities,215,12
5,12,Instant Message,2,12
5,12,Search,26,12
5,12,Uncategorized,100,12
5,12,Video,92,12
5,21,Browsers,19,12
5,21,General Utilities,35,12
5,21,Quality Assurance,359,12
5,21,Search,138,12
5,21,Uncategorized,12,12
5,21,Video,808,12
6,8,General Utilities,41,12
6,8,Travel & Outdoors,4,12
6,8,Video,10,12
6,9,Browsers,85,12
6,9,General Shopping,2,12
6,9,General Social Networking,339,12
6,9,Instant Message,10,12
6,9,Maps & Regional,35,12
6,9,Search,178,12
6,9,Travel & Outdoors,1158,12
6,9,Uncategorized,107,12
6,9,Video,4,12
6,10,Browsers,15,12
6,10,General Social Networking,83,12
6,10,General Utilities,37,12
6,10,Search,86,12
6,10,Travel & Outdoors,275,12
6,10,Uncategorized,286,12
6,11,Browsers,7,12
6,11,General Shopping,1,12
6,11,General Social Networking,708,12
6,11,General Utilities,95,12
6,11,Search,5,12
6,11,Uncategorized,13,12
6,16,Browsers,3,12
6,16,General Shopping,177,12
6,16,General Social Networking,5,12
6,16,Uncategorized,2,12
6,19,Browsers,17,12
6,19,Calendars,49,12
6,19,Engineering & Technology,16,12
6,19,General News & Opinion,6,12
6,19,General Reference & Learning,59,12
6,19,General Shopping,29,12
6,19,General Social Networking,13,12
6,19,General Utilities,146,12
6,19,Intelligence,4,12
6,19,Search,371,12
6,19,Travel & Outdoors,235,12
6,19,Uncategorized,1388,12
6,20,Browsers,22,12
6,20,Calendars,2,12
6,20,General Entertainment,232,12
6,20,General News & Opinion,31,12
6,20,General Shopping,27,12
6,20,General Social Networking,338,12
6,20,General Utilities,33,12
6,20,Search,3,12
6,20,Travel & Outdoors,4,12
6,20,Uncategorized,839,12
6,20,Video,2,12
6,21,Browsers,14,12
6,21,Calendars,19,12
6,21,Engineering & Technology,19,12
6,21,General Business,7,12
6,21,General Entertainment,72,12
6,21,General News & Opinion,15,12
6,21,General Reference & Learning,331,12
6,21,General Social Networking,327,12
6,21,General Utilities,33,12
6,21,Intelligence,23,12
6,21,Search,46,12
6,21,Uncategorized,860,12
6,22,Browsers,9,12
6,22,General News & Opinion,660,12
6,22,General Reference & Learning,11,12
6,22,General Shopping,474,12
6,22,General Social Networking,504,12
6,22,General Software Development,28,12
6,22,Science & Technology,18,12
6,22,Search,71,12
6,22,Uncategorized,110,12
6,22,Video,11,12
6,23,Calendars,13,12
6,23,General Shopping,127,12
6,23,General Social Networking,1,12
6,23,General Utilities,33,12
6,23,Uncategorized,105,12
7,8,Browsers,37,12
7,8,General News & Opinion,1,12
7,8,General Shopping,3,12
7,8,General Social Networking,901,12
7,8,General Utilities,65,12
7,8,Instant Message,251,12
7,8,Internet Utilities,3,12
7,8,Search,185,12
7,8,Uncategorized,90,12
7,9,Browsers,65,12
7,9,Calendars,129,12
7,9,General News & Opinion,722,12
7,9,General Shopping,1,12
7,9,General Social Networking,419,12
7,9,General Utilities,150,12
7,9,Search,156,12
7,9,Travel & Outdoors,29,12
7,9,Uncategorized,453,12
7,22,Browsers,13,12
7,22,General Shopping,334,12
7,22,General Utilities,28,12
7,22,Search,26,12
7,22,Uncategorized,6,12
7,23,Browsers,23,12
7,23,Calendars,3,12
7,23,General News & Opinion,2,12
7,23,General Shopping,919,12
7,23,General Social Networking,691,12
7,23,General Utilities,19,12
7,23,Internet Utilities,1,12
7,23,Search,139,12
7,23,Uncategorized,41,12
8,0,General News & Opinion,11,12
8,0,General Shopping,30,12
8,0,General Utilities,37,12
8,0,Search,265,12
8,1,Browsers,42,12
8,1,General News & Opinion,291,12
8,1,General Shopping,24,12
8,1,General Social Networking,5,12
8,1,General Utilities,5,12
8,1,Search,55,12
8,1,Uncategorized,110,12
8,8,Browsers,4,12
8,8,Calendars,55,12
8,8,General News & Opinion,2,12
8,8,Project Management,2,12
8,8,Uncategorized,75,12
8,9,Browsers,25,12
8,9,Calendars,434,12
8,9,General News & Opinion,63,12
8,9,General Reference & Learning,44,12
8,9,General Utilities,84,12
8,9,Intelligence,1,12
8,9,Project Management,1367,12
8,9,Search,26,12
8,9,Uncategorized,601,12
8,9,Voice Chat,554,12
8,10,Browsers,9,12
8,10,Calendars,69,12
8,10,General Reference & Learning,43,12
8,10,General Social Networking,1,12
8,10,General Utilities,58,12
8,10,Intelligence,1038,12
8,10,Project Management,12,12
8,10,Search,2,12
8,10,Uncategorized,146,12
8,10,Voice Chat,5,12
8,11,Browsers,24,12
8,11,Email,71,12
8,11,General Reference & Learning,3,12
8,11,General Social Networking,505,12
8,11,General Utilities,17,12
8,11,Instant Message,18,12
8,11,Intelligence,7,12
8,11,Search,6,12
8,11,Uncategorized,33,12
8,12,Browsers,25,12
8,12,Calendars,608,12
8,12,Email,45,12
8,12,General Business,126,12
8,12,General Reference & Learning,73,12
8,12,General Social Networking,70,12
8,12,General Utilities,48,12
8,12,Instant Message,82,12
8,12,Search,24,12
8,12,Uncategorized,800,12
8,12,Writing,338,12
8,13,Browsers,1,12
8,13,General Reference & Learning,28,12
8,13,General Social Networking,80,12
8,13,General Utilities,3,12
8,13,Search,2,12
8,13,Uncategorized,316,12
8,14,Calendars,136,12
8,14,General Reference & Learning,7,12
8,14,General Utilities,394,12
8,14,Uncategorized,754,12
8,14,Writing,3,12
8,15,Browsers,31,12
8,15,Calendars,3,12
8,15,General Business,608,12
8,15,General Entertainment,118,12
8,15,General Reference & Learning,133,12
8,15,General Social Networking,105,12
8,15,General Utilities,33,12
8,15,Intelligence,3,12
8,15,Search,55,12
8,15,Uncategorized,590,12
8,15,Writing,1530,12
