Day,Hour,Activity,Timespent,Month
5,18,Blank Web Browser,4,11
5,18,Google Chrome,8,11
5,18,RescueTime,70,11
5,18,Windows Explorer,41,11
5,18,aetna.com,10,11
5,18,c:,6,11
5,18,demo.cozycloud.cc,5,11
5,18,exist.io,73,11
5,18,facebook.com,33,11
5,18,fluxtream.org,94,11
5,18,frankrousseau.github.io,37,11
5,18,github.com,130,11
5,18,google.com,32,11
5,18,humanapi.co,15,11
5,18,joymetrics.com,4,11
5,18,lifestreamblog.com,172,11
5,18,loggr.me,6,11
5,18,projects.invisionapp.com,1,11
5,18,remouse,3,11
5,18,rescuetime.com,364,11
5,18,searchui,4,11
5,18,system idle process,3,11
5,18,whatpulse.org,172,11
5,18,whatpulse,322,11
9,18,Gmail,10,11
9,18,Google Chrome,17,11
9,18,MS Paint,82,11
9,18,RescueTime,23,11
9,18,Windows Explorer,22,11
9,18,github.com,1,11
9,18,google.com,129,11
9,18,projects.invisionapp.com,273,11
9,18,rescuetime.com,203,11
9,19,Gmail,10,11
9,19,Google Chrome,11,11
9,19,MS Paint,518,11
9,19,Windows Explorer,64,11
9,19,app.prntscr.com,40,11
9,19,github.com,94,11
9,19,google.com,18,11
9,19,lightshot,164,11
9,19,projects.invisionapp.com,1844,11
9,19,rescuetime.com,6,11
9,19,searchui,13,11
9,19,setup-lightshot.tmp,25,11
9,19,snippingtool,5,11
9,19,system idle process,1,11
9,19,youtube.com,759,11
9,20,Blank Web Browser,3,11
9,20,Gmail,55,11
9,20,Google Chrome,26,11
9,20,Google Documents - Google Apps,1,11
9,20,Google Documents,35,11
9,20,Google Drive - Google Apps,1,11
9,20,MS Word,68,11
9,20,Windows Explorer,25,11
9,20,drive.google.com,73,11
9,20,gorillavid.in,1,11
9,20,invis.io,4,11
9,20,projects.invisionapp.com,547,11
9,20,thewatchseries.to,3,11
9,20,youtube.com,1,11
9,22,Gmail,129,11
9,22,Google Chrome,31,11
9,22,Google Documents,18,11
9,22,Windows Explorer,26,11
9,22,c:,9,11
9,22,drive.google.com,39,11
9,22,gorillavid.in,300,11
9,22,lockapphost,3,11
9,22,projects.invisionapp.com,87,11
9,22,system idle process,10,11
9,22,thewatchseries.to,256,11
9,22,watchtvseries.se,11,11
9,22,watchtvseries.to,12,11
9,23,Gmail,7,11
9,23,Google Documents,10,11
9,23,gorillavid.in,383,11
9,23,newclasses.nyu.edu,78,11
9,23,shibboleth.nyu.edu,6,11
10,0,gorillavid.in,606,11
10,0,thewatchseries.to,20,11
10,1,gorillavid.in,227,11
10,1,netflix.com,5,11
10,1,thewatchseries.to,25,11
10,13,Google Chrome,54,11
10,13,google.com,12,11
10,13,gorillavid.in,96,11
10,13,imdb.com,52,11
10,13,lockapphost,3,11
10,13,netflix.com,271,11
10,13,thewatchseries.to,74,11
10,13,watchtvseries.se,4,11
10,14,google.com,2,11
10,14,gorillavid.in,1557,11
10,14,imdb.com,234,11
10,14,thewatchseries.to,2,11
10,15,Windows Explorer,38,11
10,15,gorillavid.in,2714,11
10,15,thewatchseries.to,121,11
10,15,vodlocker.com,591,11
10,16,gorillavid.in,3599,11
10,17,eclipse,64,11
10,17,gorillavid.in,3536,11
10,18,Desktop Window Manager,4,11
